   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 305,         23716,           23416,          26878,      2124,           0,       2084
 306,         23835,           23534,          27691,      2146,           0,       2048
 307,         23868,           23566,          26495,      2147,           0,       2238
 308,         23956,           23653,          28087,      2166,           0,       2170
 309,         24159,           23855,          32345,      2171,           0,       2419
 310,         24283,           23978,          33093,      2167,           0,       3933
 311,         24463,           24157,          34490,      2182,           0,       2099
 312,         24640,           24333,          35435,      2195,           0,       2152
 313,         24713,           24405,          35753,      2207,           0,       3761
 314,         24913,           24604,          38908,      2211,           0,       2166
 315,         25215,           24905,          35539,      2222,           0,       2122
 316,         25412,           25101,          29522,      2231,           0,       2134
 317,         25450,           25138,          28591,      2235,           0,       2128
 318,         25563,           25250,          28681,      2247,           0,       2148
 319,         25664,           25350,          29518,      2262,           0,       2142
 320,         25723,           25408,          30625,      2264,           0,       2557
 321,         25726,           25410,          29953,      2273,           0,       2159
 322,         25838,           25521,          29115,      2284,           0,       2174
 323,         26112,           25794,          32295,      2293,           0,       2672
 324,         26117,           25798,          30560,      2307,           0,       2191
 325,         26323,           26003,          29646,      2320,           0,       2691
 326,         26505,           26184,          30596,      2323,           0,       2510
 327,         26575,           26253,          31425,      2328,           0,       2212
 328,         26701,           26378,          31015,      2335,           0,       2225
 329,         26782,           26458,          30761,      2344,           0,       2244
 330,         26802,           26477,          31404,      2345,           0,       2587
 331,         27120,           26794,          32394,      2360,           0,       2463
 332,         27125,           26798,          51174,      2350,           0,       2812
 333,         27374,           27046,          34409,      2363,           0,       2246
 334,         27404,           27075,          32973,      2384,           0,       2395
 335,         27492,           27162,          33489,      2390,           0,       2290
 336,         27510,           27179,          39904,      2409,           0,       3376
 337,         27759,           27427,          39808,      2421,           0,       3075
 338,         27898,           27565,          39400,      2421,           0,       2840
 339,         27964,           27630,          34783,      2431,           0,       2302
 340,         28161,           27826,          33594,      2437,           0,       3271
 341,         28339,           28003,          32952,      2439,           0,       2322
 342,         28539,           28202,          34830,      2440,           0,       2323
 343,         28844,           28506,          34780,      2460,           0,       2708
 344,         28864,           28525,          35824,      2476,           0,       2726
 345,         28870,           28530,          34919,      2486,           0,       2549
 346,         29148,           28807,          38336,      2492,           0,       2439
 347,         29470,           29128,          38666,      2504,           0,       2368
 348,         29595,           29252,          42706,      2508,           0,       2470
 349,         29832,           29488,          45012,      2515,           0,       2377
 350,         30163,           29818,          43731,      2522,           0,       2506
 351,         30196,           29850,          42767,      2543,           0,       3648
 352,         30502,           30155,          39302,      2550,           0,       3491
 353,         30661,           30313,          40781,      2562,           0,       2408
 354,         30999,           30650,          45042,      2574,           0,       4080
 355,         31235,           30885,          42047,      2575,           0,       2689
 356,         31469,           31118,          50748,      2572,           0,       3842
 357,         31496,           31144,          42019,      2585,           0,       2722
 358,         31581,           31228,          37147,      2596,           0,       2850
 359,         31903,           31549,          43834,      2613,           0,       3051
 360,         31975,           31620,          41752,      2614,           0,       2464
 361,         32202,           31846,          43629,      2621,           0,       2994
 362,         32492,           32135,          43481,      2624,           0,       2517
 363,         32704,           32346,          40009,      2623,           0,       2970
 364,         33028,           32669,          39203,      2667,           0,       2643
 365,         33065,           32705,          40274,      2670,           0,       2512
 366,         33324,           32963,          38346,      2671,           0,       2516
 367,         33516,           33154,          40700,      2685,           0,       2583
 368,         33529,           33166,          39613,      2671,           0,       2545
 369,         33717,           33353,          39675,      2680,           0,       2547
 370,         33913,           33548,          39078,      2684,           0,       2959
 371,         33997,           33631,          38493,      2693,           0,       2625
 372,         34205,           33838,          39340,      2708,           0,       2561
 373,         34466,           34098,          39294,      2720,           0,       2562
 374,         34522,           34153,          40012,      2737,           0,       2578
 375,         34531,           34161,          38860,      2730,           0,       2645
 376,         34589,           34218,          38788,      2734,           0,       2573
 377,         34803,           34431,          39258,      2746,           0,       2588
 378,         35062,           34689,          39667,      2768,           0,       2631
 379,         35257,           34883,          48521,      2767,           0,       2645
 380,         35567,           35192,          40910,      2775,           0,       2618
 381,         35938,           35562,          41447,      2774,           0,       2670
 382,         36039,           35662,          40910,      2792,           0,       2672
 383,         36421,           36043,          40665,      2805,           0,       2701
 384,         36746,           36367,          41099,      2803,           0,       2678
 385,         36972,           36592,          42066,      2812,           0,       2672
 386,         37178,           36797,          42347,      2822,           0,       3098
 387,         37310,           36928,          43030,      2836,           0,       2713
 388,         37429,           37046,          42566,      2836,           0,       2707
 389,         37507,           37123,          43381,      2841,           0,       2705
 390,         37838,           37453,          43313,      2859,           0,       2695
 391,         37984,           37598,          42704,      2865,           0,       2774
 392,         38182,           37795,          43321,      2877,           0,       2754
 393,         38499,           38111,          44993,      2886,           0,       2791
 394,         38817,           38428,          43522,      2912,           0,       2734
 395,         39153,           38763,          45443,      2910,           0,       2825
 396,         39259,           38868,          47945,      2917,           0,       2815
 397,         39562,           39170,          44360,      2932,           0,       2825
 398,         39955,           39562,          45804,      2925,           0,       2756
 399,         40252,           39858,          45869,      2924,           0,       2769
 400,         40513,           40118,          46732,      2966,           0,       2788
 401,         40634,           40238,          54658,      2974,           0,       2865
 402,         40717,           40320,          47543,      2961,           0,       2994
 403,         40951,           40553,          49384,      2969,           0,       2793
 404,         41354,           40956,          47906,      2986,           0,       2815
 405,         41362,           40963,          47866,      3003,           0,       3184
 406,         41431,           41031,          47855,      3011,           0,       3026
 407,         41509,           41108,          47606,      3007,           0,       2830
 408,         41828,           41426,          48713,      3025,           0,       2843
 409,         42131,           41728,          51135,      3035,           0,       3559
 410,         42475,           42071,          49010,      3031,           0,       3096
 411,         42871,           42466,          50445,      3042,           0,       2958
 412,         43063,           42657,          52059,      3062,           0,       2903
 413,         43172,           42765,          51231,      3082,           0,       2890
 414,         43199,           42791,          50494,      3067,           0,       3143
 415,         43481,           43072,          50374,      3076,           0,       2887
 416,         43544,           43134,          51830,      3093,           0,       3144
 417,         43648,           43237,          51656,      3101,           0,       3082
 418,         43872,           43460,          52775,      3110,           0,       3051
 419,         43979,           43566,          67950,      3126,           0,       3651
 420,         44099,           43685,          68581,      3136,           0,       7540
 421,         44243,           43828,          58253,      3143,           0,       3180
 422,         44443,           44027,          52591,      3155,           0,       3017
 423,         44572,           44155,          51450,      3157,           0,       3024
 424,         44961,           44543,          51673,      3163,           0,       2967
 425,         45218,           44799,          54179,      3175,           0,       4412
 426,         45420,           45000,          62194,      3185,           0,       3019
 427,         45482,           45061,          52603,      3194,           0,       3419
 428,         45531,           45109,          52150,      3192,           0,       2985
 429,         45699,           45276,          52043,      3205,           0,       3000
 430,         45713,           45289,          52527,      3208,           0,       3047
 431,         45755,           45330,          51800,      3218,           0,       3076
 432,         45808,           45382,          52639,      3242,           0,       3150
 433,         46132,           45705,          52529,      3253,           0,       3040
 434,         46327,           45899,          53129,      3260,           0,       3130
 435,         46383,           45954,          52528,      3266,           0,       3051
 436,         46533,           46103,          55167,      3271,           0,       3448
 437,         46714,           46283,          62472,      3281,           0,       3191
 438,         46827,           46395,          60306,      3295,           0,       3160
 439,         46950,           46517,          57399,      3293,           0,       3097
 440,         46984,           46550,          53964,      3306,           0,       3122
 441,         47226,           46791,          53833,      3316,           0,       3113
 442,         47280,           46844,          52871,      3307,           0,       3096
 443,         47294,           46857,          54490,      3310,           0,       3218
 444,         47481,           47043,          53949,      3332,           0,       3149
 445,         47907,           47468,          55077,      3331,           0,       3222
 446,         48298,           47858,          68363,      3352,           0,       6839
 447,         48726,           48285,          98523,      3368,           0,       3159
 448,         49080,           48638,          56033,      3393,           0,       3186
 449,         49407,           48964,          56056,      3400,           0,       3180
 450,         49779,           49335,          56252,      3402,           0,       3190
 451,         50229,           49784,          56285,      3402,           0,       3190
 452,         50238,           49792,          57206,      3426,           0,       3452
 453,         50362,           49915,          57946,      3427,           0,       3242
 454,         50539,           50091,          63018,      3426,           0,       3215
 455,         50705,           50256,          61405,      3445,           0,       3398
 456,         51056,           50606,          58554,      3462,           0,       3252
 457,         51376,           50925,          60664,      3465,           0,       3245
 458,         51488,           51036,          60322,      3471,           0,       3271
 459,         51930,           51477,          58674,      3476,           0,       3269
 460,         52211,           51757,          59259,      3507,           0,       3358
 461,         52312,           51857,          59478,      3513,           0,       3285
 462,         52337,           51881,          59418,      3506,           0,       3266
 463,         52799,           52343,          63385,      3521,           0,       3291
 464,         53153,           52696,          61061,      3528,           0,       3359
 465,         53192,           52734,          60999,      3535,           0,       3355
 466,         53218,           52759,          60343,      3537,           0,       3310
 467,         53227,           52767,          59985,      3549,           0,       3317
 468,         53438,           52977,          60985,      3559,           0,       3318
 469,         53485,           53023,          60180,      3562,           0,       3335
 470,         53747,           53284,          69951,      3584,           0,       3342
 471,         54169,           53705,          63749,      3585,           0,       3358
 472,         54200,           53735,          60834,      3613,           0,       3371
 473,         54556,           54090,          62287,      3618,           0,       3575
 474,         54867,           54400,          62695,      3601,           0,       3377
 475,         55113,           54645,          61628,      3624,           0,       3381
 476,         55459,           54990,          62960,      3633,           0,       3431
 477,         55930,           55460,          63529,      3640,           0,       3506
 478,         55935,           55464,          62964,      3658,           0,       3494
 479,         56222,           55750,          63859,      3679,           0,       3456
 480,         56383,           55910,          64275,      3671,           0,       3436
 481,         56832,           56358,          63694,      3678,           0,       3450
 482,         57118,           56643,          65068,      3693,           0,       3431
 483,         57196,           56720,          64965,      3706,           0,       3461
 484,         57220,           56743,          64651,      3693,           0,       3477
 485,         57395,           56917,          69927,      3702,           0,       3456
 486,         57517,           57038,          67920,      3721,           0,       3473
 487,         57601,           57121,          65534,      3737,           0,       3481
 488,         57607,           57126,          64953,      3733,           0,       3480
 489,         57824,           57342,          66051,      3745,           0,       3504
